algorithm;n;m;time_ms;T_S;eps;sigma_eps
NFDH;1024;500;1.99791;17089;0.341002;0.0174572
NFDH;1024;1000;3.90305;33415;0.330415;0.0106684
NFDH;1024;1500;5.30235;50363;0.334249;0.00823785
NFDH;1024;2000;6.65693;67843;0.336149;0.0103368
NFDH;1024;2500;9.39111;83869;0.33118;0.00767689
NFDH;1024;3000;10.6252;101026;0.334231;0.0060933
NFDH;1024;3500;11.3314;118211;0.33481;0.00821008
NFDH;1024;4000;13.0175;134980;0.331468;0.00618884
NFDH;1024;4500;15.5893;150681;0.33122;0.00656657
NFDH;1024;5000;16.5969;168945;0.331531;0.0057184
NFDH;4096;500;4.01007;16813;0.326294;0.017737
NFDH;4096;1000;9.32817;33104;0.333266;0.0108566
NFDH;4096;1500;19.9107;50974;0.331014;0.0125481
NFDH;4096;2000;19.1928;66428;0.333767;0.00930705
NFDH;4096;2500;27.8247;84336;0.335064;0.00355486
NFDH;4096;3000;33.1846;100382;0.329569;0.00608424
NFDH;4096;3500;44.4824;118395;0.334273;0.007428
NFDH;4096;4000;45.3421;135009;0.333677;0.00654567
NFDH;4096;4500;45.5372;151701;0.331984;0.00693407
NFDH;4096;5000;54.6518;169370;0.333392;0.00367574
FFDH;1024;500;36.6298;13872;0.0882683;0.01254
FFDH;1024;1000;76.4801;26764;0.0655461;0.006335
FFDH;1024;1500;159.426;39934;0.0578649;0.00592848
FFDH;1024;2000;159.724;53479;0.0532122;0.00417301
FFDH;1024;2500;249.347;66290;0.0521516;0.00432129
FFDH;1024;3000;349.43;79248;0.0466224;0.00230762
FFDH;1024;3500;329.496;92592;0.0455305;0.00338847
FFDH;1024;4000;359.072;105827;0.0438725;0.00311937
FFDH;1024;4500;396.815;118047;0.0428506;0.00327064
FFDH;1024;5000;540.322;132170;0.0416736;0.00346792
FFDH;4096;500;33.6292;13707;0.0815938;0.00820446
FFDH;4096;1000;70.7707;26393;0.0629807;0.00672518
FFDH;4096;1500;124.12;40666;0.0619085;0.00395508
FFDH;4096;2000;154.461;52478;0.0536271;0.00507417
FFDH;4096;2500;229.698;66464;0.052124;0.00389071
FFDH;4096;3000;281.389;78961;0.0458753;0.00296255
FFDH;4096;3500;324.706;92931;0.0472725;0.00321922
FFDH;4096;4000;383.442;105546;0.0426351;0.00539727
FFDH;4096;4500;496.207;118913;0.044109;0.00283285
FFDH;4096;5000;598.853;132437;0.0425966;0.00292418
