n;time_ms
10;0.2417
20;1.1155
30;4.611
40;3.15194
50;16.3642
60;23.8192
70;0.70066
80;12.2138
90;168.256
100;74.0363
110;6.3622
120;179.832
130;58.1544
140;239.923
150;573.635
160;344.807
170;246.407
180;419.804
190;811.051
200;766.473
210;287.051
220;26.5587
230;394.769
240;5.2311
250;1259.33
260;1214.16
270;345.31
280;3.40056
290;1972.66
300;1192.39
310;7.57682
320;41.7709
330;5.11684
340;1257.61
350;2111.07
360;10.6049
370;2770.43
380;4015.09
390;3076.77
400;2104.61
410;4441.81
420;7017.45
430;4482.25
440;1987.56
450;3858.97
460;4424.49
470;39.4562
480;11.6352
490;2424.95
500;5508.68
