lambda;mu;m;theta;T
1e-06;1;1;7.32717e+11,4.80128e+10,3.14618e+09,2.06166e+08,1.35101e+07,885327,58016.2,3800.98,248.093,15.2588;1.07012,1.07012,1.07012,1.07012,1.07013,1.07013,1.07013,1.07013,1.07013,1.07013
1e-06;1;2;1.87159e+14,6.13199e+12,2.00908e+11,6.58266e+09,2.15681e+08,7.0669e+06,231553,7586.69,248.093,15.2588;0.516936,0.516937,0.516937,0.516937,0.516937,0.516938,0.516938,0.516938,0.516939,1.03388
1e-06;1;3;3.19771e+15,6.98456e+13,1.52561e+12,3.3324e+10,7.27907e+08,1.59001e+07,347322,7586.69,248.093,15.2588;0.340777,0.340777,0.340777,0.340777,0.340777,0.340777,0.340777,0.340777,0.511166,1.0335
1e-06;10;1;6.89215e+20,4.51622e+18,2.95939e+16,1.93926e+14,1.27079e+12,8.32764e+09,5.45727e+07,357631,2343.6,15.2588;0.10066,0.10066,0.10066,0.10066,0.10066,0.10066,0.10066,0.10066,0.10066,0.10066
1e-06;10;2;1.76435e+23,5.78063e+20,1.89397e+18,6.20549e+15,2.03323e+13,6.66197e+10,2.18286e+08,715247,2343.6,15.2588;0.0501644,0.0501644,0.0501644,0.0501644,0.0501644,0.0501644,0.0501644,0.0501644,0.0501644,0.100329
1e-06;10;3;3.01456e+24,6.5845e+21,1.43823e+19,3.14153e+16,6.86214e+13,1.49894e+11,3.27429e+08,715247,2343.6,15.2588;0.0334063,0.0334063,0.0334063,0.0334063,0.0334063,0.0334063,0.0334063,0.0334063,0.0501095,0.100328
1e-06;100;1;6.85147e+29,4.48956e+26,2.94192e+23,1.92781e+20,1.26329e+17,8.27849e+13,5.42506e+10,3.55521e+07,23298.7,15.2588;0.0100066,0.0100066,0.0100066,0.0100066,0.0100066,0.0100066,0.0100066,0.0100066,0.0100066,0.0100066
1e-06;100;2;1.75398e+32,5.74664e+28,1.88283e+25,6.16899e+21,2.02127e+18,6.62279e+14,2.17002e+11,7.11041e+07,23298.7,15.2588;0.00500164,0.00500164,0.00500164,0.00500164,0.00500164,0.00500164,0.00500164,0.00500164,0.00500164,0.0100033
1e-06;100;3;2.99683e+33,6.54578e+29,1.42977e+26,3.12305e+22,6.82179e+18,1.49013e+15,3.25504e+11,7.11041e+07,23298.7,15.2588;0.00333406,0.00333406,0.00333406,0.00333406,0.00333406,0.00333406,0.00333406,0.00333406,0.00500109,0.0100033
1e-06;1000;1;6.84743e+38,4.48691e+34,2.94018e+30,1.92667e+26,1.26255e+22,8.27361e+17,5.42186e+13,3.55311e+09,232849,15.2588;0.00100007,0.00100007,0.00100007,0.00100007,0.00100007,0.00100007,0.00100007,0.00100007,0.00100007,0.00100007
